,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
895,ThyssenKrupp Industries India,4.2,Conglomerate,Industrial Machinery,1k-5k Employees,77 years old,Pune +44 more
896,ReNew,4.3,None,None,None,None,None
897,Hathway,3.7,None,None,None,None,None
898,Hindustan Zinc,3.9,Public,Metals & Mining,1k-5k Employees,58 years old,Udaipur +27 more
899,United Alliance Technology,4.9,None,None,None,None,None
900,Dana Anand,4.2,None,None,None,None,None
901,Intex Technologies,3.5,Public,Consumer Electronics & Appliances,1k-5k Employees,28 years old,Delhi/NCR +71 more
902,Muthoot Microfin,4.4,None,None,None,None,None
903,Reliance AJIO,3.8,None,None,None,None,None
904,GEP Worldwide,3.8,None,None,None,None,None
905,Bosch Chassis Systems,4.2,None,None,None,None,None
906,Qualcomm,3.9,Forbes Global 2000,Semiconductors,10k-50k Employees,28 years old,San Diego +15 more
907,Happiest Minds Technologies,3.9,Public,IT Services & Consulting,1k-5k Employees,13 years old,Bangalore +14 more
908,CarDekho,3.7,Indian Unicorn,Internet,1k-5k Employees,16 years old,Jaipur +68 more
909,TK Elevator,4.1,None,None,None,None,None
910,Feedback Infrastructure Services,3.5,None,None,None,None,None
911,CenturyPly,4.0,Public,Furniture & Furnishing,1k-5k Employees,38 years old,Kolkata +98 more
912,Apotex Research,4.2,None,None,None,None,None
913,TEKsystems,3.5,None,None,None,None,None
914,Kinara Capital,4.5,None,None,None,None,None
915,TradeIndia (Infocom Network Private Limited),3.4,None,None,None,None,None
916,Kotak Mahindra Prime,4.1,Public,NBFC,5k-10k Employees,28 years old,Mumbai +118 more
917,Colgate Palmolive,4.2,Public,FMCG,1k-5k Employees,87 years old,New York +98 more
918,Stanza Living,3.1,Startup,Internet,501-1k Employees,7 years old,Delhi +30 more
919,ZF Steering Gear,3.8,Public,Auto Components,501-1k Employees,109 years old,Pune +22 more
920,Pizza Hut,3.9,None,None,None,None,None
921,Kirloskar Brothers,4.1,Public,Industrial Machinery,1k-5k Employees,136 years old,Pune +56 more
922,Tube Investments of India,4.0,Public,Engineering & Construction,1k-5k Employees,75 years old,Chennai +54 more
923,Imperial Auto Industries,3.8,Public,Auto Components,1k-5k Employees,55 years old,Faridabad +33 more
924,Nykaa,3.5,Public,Internet,1k-5k Employees,12 years old,Mumbai +81 more
925,Fidelity Investment,4.3,None,None,None,None,None
926,More Supermarket,3.9,None,None,None,None,None
927,GAO Tek,4.5,None,None,None,None,None
928,Spandana Sphoorty Financial,3.8,Public,NBFC,10k-50k Employees,26 years old,Hyderabad/Secunderabad +223 more
929,Acuity Knowledge Partners,3.6,None,None,None,None,None
930,Tata Chemicals,4.2,Public,Chemicals,1k-5k Employees,85 years old,Mumbai +78 more
931,Secure Meters,4.1,Public,Electronics Manufacturing,1k-5k Employees,37 years old,Udaipur +67 more
932,Colliers International,4.0,None,None,None,None,None
933,Genius Consultants,3.8,None,None,None,None,None
934,Karur Vysya Bank,3.8,Public,Banking,5k-10k Employees,108 years old,Karur +133 more
935,Shalby Hospitals,4.6,Public,Healthcare,1k-5k Employees,30 years old,Ahmedabad +23 more
936,Nilkamal,3.9,Public,Furniture & Furnishing,1k-5k Employees,43 years old,Mumbai +94 more
937,Syngenta,4.3,None,None,None,None,None
938,Ahluwalia Contracts India,4.1,Public,Engineering & Construction,1k-5k Employees,59 years old,Delhi/NCR +47 more
939,Rashmi Metaliks,3.5,None,None,None,None,None
940,Diageo,4.1,Public,Beverage,1k-5k Employees,27 years old,London +80 more
941,Dassault Systemes,4.1,Forbes Global 2000,Software Product,5k-10k Employees,43 years old,Velizy-villacoublay +8 more
942,Pricol,4.0,Public,Auto Components,1k-5k Employees,49 years old,Coimbatore +24 more
943,Sundaram Finance,4.2,Public,NBFC,1k-5k Employees,70 years old,Chennai +204 more
944,FLSmidth,3.7,None,None,None,None,None
