,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
317,Shree Cement,4.0,Public,Building Material,5k-10k Employees,45 years old,Kolkata +199 more
318,Kyndryl,4.1,None,None,None,None,None
319,Radisson Hotels,4.1,None,None,None,None,None
320,Yazaki,3.9,None,None,None,None,None
321,Himalaya Wellness,4.2,None,None,None,None,None
322,Dalmia Bharat Cement,4.1,Public,Building Material,5k-10k Employees,89 years old,Delhi/NCR +206 more
323,Quest Global,3.7,None,None,None,None,None
324,Lifestyle,4.4,Fortune India 500,Retail,10k-50k Employees,25 years old,Bangalore/Bengaluru +109 more
325,Eureka Forbes,3.9,None,None,None,None,None
326,Ajanta Pharma,4.1,Public,Pharma,5k-10k Employees,51 years old,Mumbai +96 more
327,IKS Health,3.7,None,None,None,None,None
328,Extramarks Education,3.5,None,None,None,None,None
329,ACT Fibernet,4.1,None,None,None,None,None
330,Aditya Birla Group,4.1,Conglomerate,Building Material,1 Lakh+ Employees,167 years old,Mumbai +218 more
331,Blue Star,4.1,Public,Consumer Electronics & Appliances,1k-5k Employees,81 years old,Mumbai +130 more
332,XpressBees,3.8,Indian Unicorn,Logistics,5k-10k Employees,9 years old,Pune +231 more
333,Nokia Networks,4.4,None,None,None,None,None
334,Mahindra Rural Housing Finance,4.1,Public,NBFC,10k-50k Employees,17 years old,Mumbai +406 more
335,Cholamandalam MS General Insurance,3.9,None,None,None,None,None
336,Sonalika Tractors,3.8,None,None,None,None,None
337,Life Insurance Corporation of India,4.4,Fortune India 500,Insurance,1 Lakh+ Employees,68 years old,Mumbai +405 more
338,DS Group,4.1,Conglomerate,FMCG,1k-5k Employees,95 years old,Noida +198 more
339,Motilal Oswal Financial Services,3.8,Public,Financial Services,5k-10k Employees,37 years old,Mumbai +124 more
340,Future Retail,4.3,Public,Retail,10k-50k Employees,37 years old,San Francisco +196 more
341,Zomato,3.8,Public,Internet,1k-5k Employees,16 years old,Gurgaon +169 more
342,JMC Projects,4.2,Public,Engineering & Construction,1k-5k Employees,42 years old,Mumbai +117 more
343,Rivigo,3.9,Indian Unicorn,Internet,1k-5k Employees,10 years old,Gurgaon +151 more
344,Delhi Public School,3.9,Public,Education & Training,1k-5k Employees,26 years old,Greater Noida +233 more
345,Mahindra Logistics,4.1,Public,Logistics,1k-5k Employees,24 years old,Mumbai +121 more
346,Indus Towers,4.0,Fortune India 500,Telecom,1k-5k Employees,17 years old,Gurgaon +155 more
347,PVR Cinemas,4.1,Public,Media & Entertainment,1k-5k Employees,27 years old,Gurgaon +103 more
348,Ninjacart,4.1,Startup,Internet,1k-5k Employees,9 years old,Bangalore +94 more
349,Parle Agro,4.2,None,None,None,None,None
350,V-Mart,4.2,Public,Retail,5k-10k Employees,22 years old,Gurgaon/Gurugram +241 more
351,SRF,4.2,Public,Chemicals,5k-10k Employees,54 years old,Gurgaon/Gurugram +45 more
352,Myntra,4.0,None,None,None,None,None
353,Kalpataru Power Transmission,4.2,Public,Engineering & Construction,1k-5k Employees,43 years old,Mumbai +210 more
354,Emcure Pharmaceuticals,3.8,Fortune India 500,Pharma,5k-10k Employees,43 years old,Pune +96 more
355,Datamatics Global Services,3.6,Public,IT Services & Consulting,5k-10k Employees,49 years old,Mumbai +27 more
356,Pfizer,4.1,Public,Pharma,1k-5k Employees,20 years old,Chennai +110 more
357,Renault-Nissan,4.1,None,None,None,None,None
358,Movate,3.4,None,None,None,None,None
359,Kansai Nerolac Paints,3.9,Public,Chemicals,1k-5k Employees,104 years old,Mumbai +177 more
360,Tata Teleservices,4.1,Public,Telecom,201-500 Employees,28 years old,Mumbai +147 more
361,Fujitsu,3.9,Forbes Global 2000,IT Services & Consulting,5k-10k Employees,89 years old,Bangalore/Bengaluru +26 more
362,Mahindra Holidays & Resorts,3.6,None,None,None,None,None
363,Raymond,4.1,Public,Fashion & Textile,5k-10k Employees,99 years old,New York +128 more
364,Indian Railways,4.1,Central,Railways,1 Lakh+ Employees,171 years old,Delhi/NCR +212 more
365,VVDN Technologies,3.7,None,None,None,None,None
366,BHEL,4.1,Fortune India 500,Electrical Equipment,10k-50k Employees,60 years old,Bangalore/Bengaluru +98 more
367,Reliance Trends,4.3,Conglomerate,Retail,1 Lakh+ Employees,18 years old,Navi Mumbai +334 more
368,MSN Laboratories,3.8,None,None,None,None,None
369,KPMG Global Services,3.7,None,None,None,None,None
370,ICICI Securities,3.8,Public,Financial Services,1k-5k Employees,29 years old,Mumbai +121 more
371,3i Infotech,3.6,Public,IT Services & Consulting,1k-5k Employees,31 years old,Mumbai +107 more
372,Blinkit,3.9,Indian Unicorn,Internet,1k-5k Employees,11 years old,Gurgaon +61 more
373,Cybage,3.9,None,None,None,None,None
374,Ambuja Cements,3.9,Public,Building Material,5k-10k Employees,41 years old,Mumbai +191 more
375,JCB,4.0,None,None,None,None,None
376,Cadila Pharmaceuticals,3.5,Public,Pharma,5k-10k Employees,73 years old,Ahmedabad +112 more
377,Info Edge,4.1,Public,Internet,5k-10k Employees,29 years old,Noida +55 more
378,GlaxoSmithKline Pharmaceuticals,4.1,Fortune India 500,Pharma,1k-5k Employees,194 years old,Brentford +178 more
379,Shell,4.3,Public,Oil & Gas,10k-50k Employees,20 years old,London +74 more
380,Poonawalla Fincorp,3.9,Public,NBFC,1k-5k Employees,36 years old,Mumbai +249 more
381,suzuki motor gujarat,4.3,None,None,None,None,None
382,ZS,3.5,None,None,None,None,None
383,Whirlpool,4.2,Public,Consumer Electronics & Appliances,1k-5k Employees,113 years old,Michigan +138 more
384,Foundever,3.8,Conglomerate,BPO,5k-10k Employees,39 years old,Miami +15 more
385,Bharat Petroleum,4.2,Fortune India 500,Oil & Gas,5k-10k Employees,72 years old,Mumbai +217 more
386,Endurance Technologies,3.8,Public,Auto Components,1k-5k Employees,39 years old,Aurangabad +38 more
387,Force Motors,3.6,Public,Automobile,1k-5k Employees,66 years old,Pune +86 more
388,Jindal Stainless,4.3,Public,Iron & Steel,1k-5k Employees,54 years old,Delhi/NCR +56 more
389,Tata Elxsi,4.0,Public,IT Services & Consulting,5k-10k Employees,35 years old,Bangalore/Bengaluru +23 more
390,GVK Emergency Management and Research Institute,3.8,None,None,None,None,None
391,Kalyan Jewellers,4.7,Fortune India 500,Jewellery,5k-10k Employees,31 years old,Bangalore / Bengaluru +131 more
392,Syngene International,3.9,Public,Pharma,1k-5k Employees,31 years old,Bangalore/Bengaluru +14 more
393,PhonePe,4.1,Indian Unicorn,FinTech,5k-10k Employees,9 years old,Bangalore +222 more
394,Fincare Small Finance Bank,4.1,None,None,None,None,None
395,NoBroker,3.3,Indian Unicorn,Internet,1k-5k Employees,10 years old,Bangalore +36 more
396,Shahi Exports,4.0,None,None,None,None,None
397,HCL Infosystems,4.0,Public,IT Services & Consulting,51-200 Employees,48 years old,Noida +107 more
398,Delphi TVS,4.1,None,None,None,None,None
399,Bharti AXA Life Insurance,3.9,None,None,None,None,None
400,Dhani Loans and Services,3.9,None,None,None,None,None
401,Sobha,4.0,Public,Real Estate,1k-5k Employees,29 years old,Bangalore/Bengaluru +33 more
402,Sterling & Wilson,4.1,None,None,None,None,None
403,Care Health Insurance,3.8,Public,Internet,5k-10k Employees,12 years old,Gurgaon +192 more
404,Brakes India,4.1,Fortune India 500,Auto Components,501-1k Employees,62 years old,Chennai +73 more
405,Aavas Financiers,4.0,Public,Financial Services,5k-10k Employees,13 years old,Jaipur +231 more
406,Kent RO Systems,4.1,None,None,None,None,None
407,Bureau Veritas,4.0,Forbes Global 2000,Other,1k-5k Employees,196 years old,Paris La Défense +108 more
408,Lodha group,4.1,Fortune India 500,Real Estate,5k-10k Employees,44 years old,Mumbai +23 more
409,CAMS,3.7,None,None,None,None,None
410,Citicorp,3.8,None,None,None,None,None
411,ITC Hotels,4.1,Public,Hospitality,5k-10k Employees,49 years old,Kolkata +74 more
412,Gallagher,3.9,Forbes Global 2000,Insurance,10k-50k Employees,97 years old,Rolling Meadows +16 more
413,Varroc Group,3.8,Public,Auto Components,1k-5k Employees,36 years old,Aurangabad +34 more
414,Unacademy,3.3,Indian Unicorn,EdTech,1k-5k Employees,9 years old,Bangalore +54 more
415,Future Generali India Life Insurance,3.8,None,None,None,None,None
416,Canara HSBC Life Insurance,3.8,None,None,None,None,None
417,Allsec Technologies,4.1,Public,BPO,1k-5k Employees,24 years old,Chennai +26 more
418,Sopra Steria,4.0,Conglomerate,IT Services & Consulting,5k-10k Employees,56 years old,Paris +14 more
419,Coromandel International,4.1,Public,Agro Chemicals,5k-10k Employees,63 years old,Hyderabad/Secunderabad +143 more
420,café Coffee day,4.0,None,None,None,None,None
421,Tata Motors Finance,4.1,Conglomerate,NBFC,1k-5k Employees,67 years old,Mumbai +220 more
422,Gabriel India,4.2,Public,Auto Components,1k-5k Employees,63 years old,Pune +40 more
423,Cisco,4.4,Public,Hardware & Networking,10k-50k Employees,40 years old,San Jose +35 more
424,Power Mech Projects,3.9,Public,Engineering & Construction,1k-5k Employees,17 years old,Hyderabad/Secunderabad +117 more
425,RMSI,3.8,None,None,None,None,None
426,JK Tyres,3.8,Fortune India 500,Auto Components,1k-5k Employees,73 years old,New Delhi +128 more
427,Adani Wilmar,4.2,Public,FMCG,1k-5k Employees,25 years old,Ahmedabad +149 more
428,Star Health & Allied Insurance,3.9,Fortune India 500,Insurance,10k-50k Employees,18 years old,Chennai +243 more
429,IntouchCX,3.1,None,None,None,None,None
430,KIA MOTORS,3.9,Forbes Global 2000,Automobile,1k-5k Employees,80 years old,Seoul +133 more
431,Lucas-TVS,4.0,None,None,None,None,None
432,DBS Bank,3.9,None,None,None,None,None
433,Straive,3.5,None,None,None,None,None
434,Sify Technologies,4.0,None,None,None,None,None
435,Bank of Baroda,3.6,Fortune India 500,Banking,50k-1 Lakh Employees,116 years old,Vadodara/Baroda +236 more
436,Laurus Labs,4.2,Public,Pharma,5k-10k Employees,19 years old,Hyderabad/Secunderabad +14 more
437,ValueLabs,3.9,None,None,None,None,None
438,Planet Spark,3.8,Startup,EdTech,51-200 Employees,7 years old,Gurgaon +42 more
439,UpGrad,3.9,Indian Unicorn,EdTech,5k-10k Employees,9 years old,San Francisco +37 more
440,Parle Products,4.0,None,None,None,None,None
441,Taurus BPO Services,4.6,None,None,None,None,None
442,Hindustan Aeronautics,4.4,Fortune India 500,Defence & Aerospace,10k-50k Employees,84 years old,Bangalore/Bengaluru +46 more
443,Indian Navy,4.6,Central,Defence & Aerospace,50k-1 Lakh Employees,74 years old,Delhi/NCR +57 more
444,Hero FinCorp,4.2,None,None,None,None,None
445,ABC,3.9,Public,Broadcasting,1k-5k Employees (Global),81 years old,New York +100 more
446,Thomson Reuters,4.2,Forbes Global 2000,Legal,5k-10k Employees,16 years old,Toronto +24 more
447,Uflex,3.8,Public,Packaging,5k-10k Employees,39 years old,Noida +41 more
448,SAP,4.3,Forbes Global 2000,Software Product,10k-50k Employees,52 years old,Walldorf +41 more
449,Adani Power,3.9,Public,Power,1k-5k Employees,18 years old,Ahmedabad +79 more
450,ESAF Microfinance & Investments (P),3.9,None,None,None,None,None
451,TVS Sundram Fasteners,3.8,Public,Auto Components,1k-5k Employees,62 years old,Chennai +41 more
452,AECOM,4.3,None,None,None,None,None
453,Cargill,4.2,Conglomerate,Food Processing,1k-5k Employees,159 years old,Wayzata +89 more
454,SGS,4.0,None,None,None,None,None
455,CMA CGM,4.1,None,None,None,None,None
456,Akums Drugs & Pharmaceuticals,4.0,None,None,None,None,None
457,Citibank,4.0,Fortune India 500,Banking,10k-50k Employees (Global),212 years old,New York +46 more
458,Intellect Design Arena,4.1,Public,FinTech,5k-10k Employees,13 years old,Chennai +26 more
459,Renault Nissan Technology & Business Centre India,3.9,None,None,None,None,None
460,Honda,4.2,Forbes Global 2000,Automobile,10k-50k Employees,39 years old,Greater Noida +197 more
461,IDBI Bank,3.8,Public,Banking,10k-50k Employees,60 years old,Mumbai +280 more
462,Reliance General Insurance,3.9,None,None,None,None,None
463,Novartis,4.1,None,None,None,None,None
464,Dr Lal PathLabs,4.2,Public,Healthcare,1k-5k Employees,75 years old,Gurgaon/Gurugram +151 more
465,Google,4.4,None,None,None,None,None
466,Microsoft Corporation,4.2,Forbes Global 2000,Software Product,10k-50k Employees,49 years old,Sunnyvale +43 more
467,Narayana Health,4.2,Fortune India 500,Healthcare,10k-50k Employees,24 years old,Bangalore/Bengaluru +57 more
468,Big Bazaar,4.2,Conglomerate,Retail,10k-50k Employees,23 years old,Mumbai +156 more
469,Xoriant,3.9,None,None,None,None,None
470,TCE,3.8,None,None,None,None,None
471,BA Continuum,4.3,None,None,None,None,None
472,Kotak Securities,3.7,Conglomerate,Financial Services,5k-10k Employees,30 years old,Mumbai +117 more
473,AXA Business Services,3.8,None,None,None,None,None
474,Meesho,3.7,Indian Unicorn,Internet,5k-10k Employees,9 years old,Bengaluru/Bangalore +92 more
475,Wockhardt,3.9,Public,Pharma,5k-10k Employees,25 years old,Mumbai +77 more
476,Spark Minda,3.9,Public,Auto Components,1k-5k Employees,66 years old,Gurgaon +60 more
477,SBI General Insurance,3.8,None,None,None,None,None
478,Honeywell Automation,3.8,Public,Consumer Electronics & Appliances,10k-50k Employees,118 years old,Morris Plains +62 more
479,Vedantu,3.4,Indian Unicorn,EdTech,1k-5k Employees,13 years old,Bangalore +51 more
480,Optum Global Solutions,4.1,None,None,None,None,None
481,YASH Technologies,3.8,None,None,None,None,None
482,Philips,3.9,Forbes Global 2000,Consumer Electronics & Appliances,5k-10k Employees,94 years old,Amsterdam +84 more
483,G R Infraprojects,4.2,Public,Engineering & Construction,10k-50k Employees,29 years old,Gurgaon/Gurugram +134 more
484,CMS Infosystems,3.7,None,None,None,None,None
485,MetLife,4.3,Forbes Global 2000,Insurance,1k-5k Employees,16 years old,New York +36 more
486,Tata Play,4.1,Public,Broadcasting,5k-10k Employees,18 years old,Mumbai +190 more
487,Aragen Life Sciences,4.1,None,None,None,None,None
488,Vardhman Fabrics,4.1,Fortune India 500,Fashion & Textile,10k-50k Employees,59 years old,Ludhiana +55 more
489,NCR Corporation,4.1,Forbes Global 2000,IT Services & Consulting,5k-10k Employees,140 years old,Atlanta +80 more
490,Biological E,4.2,None,None,None,None,None
491,Niva Bupa Health Insurance Company,3.7,None,None,None,None,None
492,Crisil,3.8,Public,Financial Services,1k-5k Employees,37 years old,Mumbai +54 more
493,Apollo Pharmacy,4.0,None,None,None,None,None
494,Safexpress,4.2,Conglomerate,Logistics,1k-5k Employees,27 years old,Delhi/NCR +140 more
495,Microland,3.5,Public,IT Services & Consulting,1k-5k Employees,35 years old,Bangalore +41 more
496,Exl India,3.6,None,None,None,None,None
497,Innovsource Services,4.0,None,None,None,None,None
498,PHN Technology,4.6,None,None,None,None,None
499,Amazon Transportation Services,4.2,None,None,None,None,None
500,Yamaha Motor,4.1,Fortune India 500,Automobile,1k-5k Employees,17 years old,Iwata +130 more
501,Panasonic Life Solutions,4.1,None,None,None,None,None
502,SS&C TECHNOLOGIES,3.6,Forbes Global 2000,IT Services & Consulting,5k-10k Employees,38 years old,Windsor Locks +25 more
503,Frankfinn Institute of Air Hostess Training,4.0,None,None,None,None,None
504,R.R. Donnelley,4.1,None,None,None,None,None
505,Angel One,3.9,None,None,None,None,None
506,Bhushan Power & Steel,4.0,None,None,None,None,None
507,Metro,4.2,Forbes Global 2000,Retail,1k-5k Employees,60 years old,Bangalore/Bengaluru +72 more
508,Allstate,4.0,Forbes Global 2000,Insurance,5k-10k Employees,12 years old,Bangalore/Bengaluru +9 more
509,SBI Securities,3.9,None,None,None,None,None
510,CitiusTech,3.5,Indian Unicorn,IT Services & Consulting,1k-5k Employees,19 years old,New Jersey +14 more
511,Reckitt Benckiser,4.0,Conglomerate,FMCG,1k-5k Employees,25 years old,Slough +115 more
512,XL Dynamics,3.2,None,None,None,None,None
513,Bharat Financial Inclusion,4.1,Public,NBFC,10k-50k Employees,26 years old,Hyderabad +311 more
514,USV,4.1,Fortune India 500,Pharma,1k-5k Employees,63 years old,Mumbai +87 more
515,Procter & Gamble,4.2,Public,FMCG,1k-5k Employees,187 years old,Cincinnati +203 more
516,Motherson Automotive Technologies and Engineering,4.0,None,None,None,None,None
517,Matrimony.com,4.4,Public,Internet,1k-5k Employees,27 years old,Chennai +49 more
518,HERE Technologies,3.8,None,None,None,None,None
519,Adecco Group,3.8,Forbes Global 2000,Recruitment,1k-5k Employees,25 years old,Zurich +126 more
520,Dainik Bhaskar Group Of Publication,4.4,Public,Printing & Publishing,5k-10k Employees,66 years old,Bhopal +127 more
521,Cavinkare,4.0,Conglomerate,FMCG,1k-5k Employees,41 years old,Chennai +148 more
522,USHA International,4.2,Public,Consumer Electronics & Appliances,1k-5k Employees,90 years old,Gurgaon/Gurugram +111 more
523,Aditya Birla Capital,4.0,Public,Financial Services,10k-50k Employees,7 years old,Mumbai +183 more
524,Team Computers,3.7,None,None,None,None,None
525,Mercedes-Benz Research & Development India,4.0,Public,IT Services & Consulting,5k-10k Employees,28 years old,Bengaluru/Bangalore +48 more
526,KONE,4.3,Forbes Global 2000,Industrial Machinery,5k-10k Employees,114 years old,Chennai +65 more
527,TATA Power,4.0,Public,Power,10k-50k Employees,113 years old,Mumbai +125 more
528,Isgec Heavy Engineering,3.9,Public,Industrial Machinery,1k-5k Employees,91 years old,Noida +69 more
529,NTPC,4.3,None,None,None,None,None
530,Honeywell Technology Solutions,3.9,None,None,None,None,None
531,DHL Supply Chain,4.3,None,None,None,None,None
532,Torrent Power,3.8,Public,Power,5k-10k Employees,28 years old,Ahmedabad +37 more
533,Oberoi Group of Hotels,4.2,None,None,None,None,None
534,Sigma Electric Manufacturing Corporation,4.0,None,None,None,None,None
535,Chegg,4.3,None,None,None,None,None
536,Mother Dairy Fruit & Vegetable,4.2,None,None,None,None,None
537,Honda Cars,4.3,None,None,None,None,None
538,PI Industries,4.1,Public,Agro Chemicals,1k-5k Employees,77 years old,Gurgaon/Gurugram +87 more
539,Saint-Gobain,4.0,Forbes Global 2000,Building Material,10k-50k Employees,359 years old,Paris +84 more
540,DIVI'S Laboratories,3.9,Public,Healthcare,10k-50k Employees,34 years old,Hyderabad/Secunderabad +21 more
541,Trent,4.1,Public,Retail,10k-50k Employees,26 years old,Mumbai +111 more
542,Johnson & Johnson,4.2,Forbes Global 2000,Pharma,1k-5k Employees,67 years old,New Brunswick +133 more
543,Hyatt Regency,4.2,Forbes Global 2000,Hospitality,1k-5k Employees,44 years old,New Delhi +44 more
544,Credit Suisse,4.2,None,None,None,None,None
545,Arvind Group,4.1,Public,Fashion & Textile,10k-50k Employees,93 years old,Ahmedabad +79 more
546,Verizon,4.2,Forbes Global 2000,Telecom,5k-10k Employees,24 years old,New York City +11 more
547,Haier Appliances India,4.1,Conglomerate,Consumer Electronics & Appliances,1k-5k Employees,20 years old,Qingdao +110 more
548,Max Fashion,4.1,None,None,None,None,None
549,V-Guard Industries,4.4,Public,Consumer Electronics & Appliances,1k-5k Employees,47 years old,Kochi/Cochin +128 more
550,Jindal Saw,4.0,Public,Building Material,5k-10k Employees,40 years old,Delhi/NCR +61 more
551,Tata Communications Transformation Services,4.1,None,None,None,None,None
552,Star Union Dai-ichi Life Insurance,3.9,None,None,None,None,None
553,Medi Assist India,3.7,None,None,None,None,None
554,Paisabazaar.com,3.7,Startup,Internet,1k-5k Employees,10 years old,Gurgaon/Gurugram +14 more
555,Exela Technologies,3.5,None,None,None,None,None
556,CG Power and Industrial Solutions,3.9,Public,Electrical Equipment,1k-5k Employees,87 years old,Mumbai +82 more
557,HDFC Securities,3.6,Public,Financial Services,1k-5k Employees,24 years old,Mumbai +162 more
558,DHL Express,4.1,Conglomerate,Logistics,1k-5k Employees,45 years old,Bonn +81 more
559,Daikin,4.2,Fortune India 500,Consumer Electronics & Appliances,1k-5k Employees,24 years old,Osaka City +86 more
560,Piramal Group,4.0,Fortune India 500,Financial Services,10k-50k Employees,44 years old,Mumbai +122 more
561,FactSet,4.0,None,None,None,None,None
562,Globiva,3.2,None,None,None,None,None
563,Medanta the Medicity,4.2,None,None,None,None,None
564,Aadhar Housing Finance,4.1,None,None,None,None,None
565,L&T Energy Hydrocarbon,3.9,None,None,None,None,None
566,Orange Business,4.4,Forbes Global 2000,IT Services & Consulting,1k-5k Employees,18 years old,Paris +45 more
567,Hindustan Petroleum,4.2,Central,Oil & Gas,5k-10k Employees,50 years old,Mumbai +203 more
568,Relaxo Footwear,4.3,Public,Fashion & Textile,5k-10k Employees,48 years old,New Delhi +125 more
569,UBS,3.9,Forbes Global 2000,Investment Banking / Venture Capital / Private Equity,5k-10k Employees,9 years old,Zurich +29 more
570,Nuvoco Vistas,4.2,Fortune India 500,Building Material,1k-5k Employees,25 years old,Mumbai +141 more
571,Haldiram Foods,3.9,None,None,None,None,None
572,First American Corporation,3.9,Forbes Global 2000,IT Services & Consulting,1k-5k Employees,135 years old,Santa Ana +13 more
573,Aforeserve,3.5,None,None,None,None,None
574,Morgan Stanley,3.7,Forbes Global 2000,Financial Services,10k-50k Employees,93 years old,New York +16 more
575,FirstCry,3.8,Indian Unicorn,Retail,1k-5k Employees,14 years old,Pune +143 more
576,Aon,4.0,Forbes Global 2000,Financial Services,5k-10k Employees,84 years old,London +18 more
577,Oracle Cerner,3.8,Public,IT Services & Consulting,5k-10k Employees,45 years old,Kansas +5 more
578,Biocon Biologics,3.8,Public,Biotechnology,1k-5k Employees,46 years old,Bangalore/Bengaluru +30 more
579,Emami,4.0,Public,Beauty & Personal Care,1k-5k Employees,50 years old,Kolkata +148 more
580,Belrise Industries,3.8,None,None,None,None,None
581,IDC Technologies,3.4,None,None,None,None,None
582,BNP Paribas,3.9,Forbes Global 2000,Financial Services,10k-50k Employees,176 years old,Paris +21 more
583,Exotic Learning,4.5,None,None,None,None,None
584,Security and Intelligence Services (India),4.1,Public,Law Enforcement & Security,1 Lakh+ Employees,39 years old,Delhi/NCR +156 more
585,Bata,3.9,Public,Fashion & Textile,1k-5k Employees,93 years old,Lausanne +116 more
586,Photon Interactive,3.9,None,None,None,None,None
587,Hindustan Construction Company,4.2,Public,Engineering & Construction,1k-5k Employees,98 years old,Mumbai +82 more
588,Dell EMC,4.2,None,None,None,None,None
589,Fusion BPO Services,3.1,None,None,None,None,None
590,Marriott International,4.3,Forbes Global 2000,Hospitality,10k-50k Employees,97 years old,Bethesda +71 more
591,Toyota Kirloskar Motor,4.4,Fortune India 500,Automobile,5k-10k Employees,27 years old,Bangalore/Bengaluru +70 more
592,Narayana Educational Society,3.7,None,None,None,None,None
593,Tesco,3.9,Forbes Global 2000,Retail,1k-5k Employees,105 years old,Hertfordshire +14 more
594,Faurecia,4.0,None,None,None,None,None
595,FedEx Express,4.3,Forbes Global 2000,Logistics,5k-10k Employees,53 years old,Moon Township +90 more
596,KFC,4.2,None,None,None,None,None
597,Mercer,3.8,None,None,None,None,None
598,Trident Group,3.5,Public,Fashion & Textile,10k-50k Employees,34 years old,Ludhiana +43 more
599,Veritas Finance,4.7,Startup,NBFC,1k-5k Employees,9 years old,Chennai +259 more
600,Sony,4.4,Public,Consumer Electronics & Appliances,1k-5k Employees,30 years old,Delhi/NCR +127 more
601,Iris Software,4.2,None,None,None,None,None
602,Jet Airways,4.6,Public,Aviation,201-500 Employees,31 years old,Mumbai +45 more
603,L.G.Balakrishnan & Bros,3.7,Public,Auto Components,1k-5k Employees,87 years old,Coimbatore +38 more
